,영업활동으로인한현금흐름,당기순이익(손실),현금유출없는비용등가산,"유형,임대주택자산감가상각비",현금유입없는수익등차감,"유,무형,리스자산처분이익",영업활동관련자산부채변동,매출채권의감소(증가),선급금의감소(증가),선급비용의감소(증가),선수금의증가(감소),예수금의증가(감소),미지급금의증가(감소),투자활동으로인한현금흐름,투자활동으로인한현금유입,투자자산및기타비유동자산의감소,"유,무형,리스자산의감소",투자활동으로인한현금유출,투자자산및비유동자산의증가,"유,무형,리스자산의증가","공구,기구,비품취득",재무활동으로인한현금흐름,현금의증가(감소),기초의현금,기말의현금
2003-03-31,6510560000.0,3606739000.0,4340530000.0,737147000.0,812044000.0,13004000.0,-624665000.0,1996794000.0,96437000.0,313286000.0,-14406000.0,1979196000.0,-1668841000.0,-1544960000.0,168687000.0,144478000.0,19568000.0,1713647000.0,955584000.0,753453000.0,434762000.0,-2500000000.0,2465600000.0,5217454000.0,7683054000.0
2004-03-31,1618042000.0,720276000.0,4105180000.0,722129000.0,272876000.0,30345000.0,-2934538000.0,-489395000.0,-128287000.0,-56098000.0,68134000.0,-1033149000.0,-613232000.0,-299526000.0,744606000.0,706000000.0,31150000.0,1044132000.0,453802000.0,558120000.0,281337000.0,-2000000000.0,-681484000.0,7683054000.0,7001570000.0
2005-03-31,5149667000.0,679047000.0,4440403000.0,781370000.0,140685000.0,40685000.0,170902000.0,-812739000.0,-16117000.0,-43269000.0,-101100000.0,-676238000.0,3591953000.0,-1878366000.0,192967000.0,145000000.0,42174000.0,2071333000.0,734839000.0,1334183000.0,588333000.0,-1000000000.0,2271301000.0,7001570000.0,9272871000.0
2006-03-31,8367959000.0,2767515000.0,4787901000.0,1641152000.0,290650000.0,14360000.0,1103193000.0,-12476695000.0,-49328000.0,-296787000.0,-2369000.0,618850000.0,1064451000.0,-4692674000.0,589087000.0,543201000.0,36623000.0,5281761000.0,2314647000.0,2958149000.0,1915759000.0,-3200000000.0,475286000.0,9272871000.0,9748157000.0
2007-03-31,-3795085000.0,555914000.0,6719735000.0,1929530000.0,234699000.0,9699000.0,-10836035000.0,-4220623000.0,-1027572000.0,-224873000.0,314526000.0,-485586000.0,508800000.0,-1873365000.0,874422000.0,397204000.0,104655000.0,2747787000.0,1000062000.0,1685911000.0,1014987000.0,773847000.0,-4894603000.0,9748157000.0,4853554000.0
2008-03-31,7125720000.0,1905485000.0,9603810000.0,4167052000.0,33269000.0,33269000.0,-4350306000.0,4663252000.0,-178665000.0,-932956000.0,8536414000.0,1837184000.0,-12810624000.0,-10574119000.0,2640067000.0,2548586000.0,77096000.0,13214186000.0,5182115000.0,8032071000.0,5927108000.0,1955128000.0,-1493271000.0,4853554000.0,3360283000.0
2009-03-31,-8478044000.0,708321000.0,6091508000.0,1799482000.0,55401000.0,43070000.0,-15222472000.0,5254908000.0,-521144000.0,361044000.0,-8725613000.0,-620161000.0,7086875000.0,4002563000.0,5321246000.0,1639408000.0,3681838000.0,1318683000.0,64626000.0,1081282000.0,494340000.0,3996108000.0,-479373000.0,3360283000.0,2880910000.0
2010-03-31,2146808000.0,401599000.0,4888032000.0,564168000.0,100269000.0,93269000.0,-3042554000.0,3817582000.0,1036175000.0,907338000.0,92727000.0,-136539000.0,1376081000.0,487513000.0,974016000.0,593995000.0,218442000.0,486503000.0,335663000.0,150840000.0,150840000.0,-2257377000.0,376944000.0,2880910000.0,3257854000.0
2014-03-31,1653956000.0,501382000.0,985647000.0,268159000.0,782482000.0,3634000.0,949409000.0,-4162887000.0,-794751000.0,39920000.0,275020000.0,623074000.0,2007253000.0,-532193000.0,190156000.0,53012000.0,3636000.0,722349000.0,39956000.0,682297000.0,3830000.0,-733173000.0,388590000.0,2041772000.0,2430362000.0
2015-03-31,3174655000.0,1326204000.0,2055931000.0,850856000.0,148189000.0,3725000.0,-59291000.0,-4426720000.0,3069353000.0,-203739000.0,-254680000.0,-2047828000.0,1932201000.0,-1688057000.0,676230000.0,426701000.0,47955000.0,2364287000.0,367858000.0,1591404000.0,1823000.0,-655477000.0,831121000.0,2430362000.0,3261483000.0
2016-03-31,11756764000.0,3147759000.0,3481341000.0,1579725000.0,824696000.0,4854000.0,5952361000.0,-15845932000.0,-642639000.0,-292970000.0,4668136000.0,-55865000.0,14133895000.0,-4946427000.0,662424000.0,641372000.0,19841000.0,5608852000.0,1335463000.0,4273389000.0,2379337000.0,4267349000.0,11077686000.0,3261483000.0,14339169000.0
2017-03-31,-9065358000.0,4896321000.0,4233740000.0,2820220000.0,761401000.0,10804000.0,-17434018000.0,-11433781000.0,-171174000.0,-128919000.0,-3234675000.0,20023000.0,-1555237000.0,-5997518000.0,333029000.0,275178000.0,57852000.0,6330548000.0,3097451000.0,3233096000.0,1700513000.0,12477432000.0,-2585443000.0,14339169000.0,11753726000.0
2018-03-31,10799448000.0,1549838000.0,4833234000.0,4169240000.0,772934000.0,54551000.0,5189310000.0,133616000.0,-25582000.0,78766000.0,1320302000.0,22785000.0,5011540000.0,-6792378000.0,301664000.0,145269000.0,156395000.0,7094041000.0,2052081000.0,5041960000.0,3300218000.0,-3133687000.0,873383000.0,11753726000.0,12627109000.0
2019-06-30,29785855000.0,-3320775000.0,3402008000.0,813505000.0,239771000.0,152652000.0,29944393000.0,42355394000.0,12481000.0,-1444602000.0,1114048000.0,6225000.0,-12064573000.0,-2303003000.0,1020920000.0,800000000.0,220920000.0,3323922000.0,1824868000.0,1499055000.0,973817000.0,-12120136000.0,15362717000.0,15610434000.0,30973151000.0
2020-06-30,31141483000.0,3388625000.0,6216286000.0,5083314000.0,951055000.0,408327000.0,22487627000.0,-10819383000.0,666819000.0,-301789000.0,-1445292000.0,-8890000.0,32389972000.0,-7197165000.0,4542887000.0,2850238000.0,716650000.0,11740052000.0,5427619000.0,5410434000.0,3238302000.0,-1779301000.0,22165016000.0,30973151000.0,53138167000.0
