DATE,T10YIE
2006-01-01,2.4100000000000000
2006-02-01,2.5200000000000000
2006-03-01,2.5265217391304348
2006-04-01,2.5815789473684211
2006-05-01,2.6640909090909091
2006-06-01,2.5768181818181818
2006-07-01,2.5805000000000000
2006-08-01,2.5856521739130435
2006-09-01,2.3995000000000000
2006-10-01,2.3176190476190476
2006-11-01,2.3033333333333333
2006-12-01,2.3140000000000000
2007-01-01,2.3228571428571429
2007-02-01,2.3621052631578947
2007-03-01,2.3877272727272727
2007-04-01,2.4380952380952381
2007-05-01,2.3727272727272727
2007-06-01,2.4119047619047619
2007-07-01,2.3676190476190476
2007-08-01,2.2365217391304348
2007-09-01,2.2642105263157895
2007-10-01,2.3254545454545455
2007-11-01,2.3805000000000000
2007-12-01,2.3085000000000000
2008-01-01,2.2752380952380952
2008-02-01,2.3325000000000000
2008-03-01,2.4190000000000000
2008-04-01,2.3127272727272727
2008-05-01,2.4200000000000000
2008-06-01,2.4709523809523810
2008-07-01,2.4386363636363636
2008-08-01,2.2095238095238095
2008-09-01,1.8361904761904762
2008-10-01,1.0618181818181818
2008-11-01,0.63833333333333333333
2008-12-01,0.24636363636363636364
2009-01-01,0.60550000000000000000
2009-02-01,1.1178947368421053
2009-03-01,1.1104545454545455
2009-04-01,1.3595238095238095
2009-05-01,1.5760000000000000
2009-06-01,1.8595454545454545
2009-07-01,1.7395454545454545
2009-08-01,1.8133333333333333
2009-09-01,1.7600000000000000
2009-10-01,1.9042857142857143
2009-11-01,2.1273684210526316
2009-12-01,2.2254545454545455
2010-01-01,2.3584210526315789
2010-02-01,2.2721052631578947
2010-03-01,2.2191304347826087
2010-04-01,2.3459090909090909
2010-05-01,2.1130000000000000
2010-06-01,1.9472727272727273
2010-07-01,1.7704761904761905
2010-08-01,1.6768181818181818
2010-09-01,1.7385714285714286
2010-10-01,2.0150000000000000
2010-11-01,2.0970000000000000
2010-12-01,2.2468181818181818
2011-01-01,2.3335000000000000
2011-02-01,2.3384210526315789
2011-03-01,2.4504347826086957
2011-04-01,2.5915000000000000
2011-05-01,2.3900000000000000
2011-06-01,2.2468181818181818
2011-07-01,2.3795000000000000
2011-08-01,2.1678260869565217
2011-09-01,1.8976190476190476
2011-10-01,1.9660000000000000
2011-11-01,2.0120000000000000
2011-12-01,2.0095238095238095
2012-01-01,2.0745000000000000
2012-02-01,2.2220000000000000
2012-03-01,2.3140909090909091
2012-04-01,2.2666666666666667
2012-05-01,2.1445454545454545
2012-06-01,2.1228571428571429
2012-07-01,2.1285714285714286
2012-08-01,2.2639130434782609
2012-09-01,2.4363157894736842
2012-10-01,2.4947619047619048
2012-11-01,2.4265000000000000
2012-12-01,2.4765000000000000
2013-01-01,2.5233333333333333
2013-02-01,2.5547368421052632
2013-03-01,2.5425000000000000
2013-04-01,2.4113636363636364
2013-05-01,2.2831818181818182
2013-06-01,2.0485000000000000
2013-07-01,2.1222727272727273
2013-08-01,2.1845454545454545
2013-09-01,2.1455000000000000
2013-10-01,2.1872727272727273
2013-11-01,2.1705263157894737
2013-12-01,2.1633333333333333
2014-01-01,2.2261904761904762
2014-02-01,2.1573684210526316
2014-03-01,2.1676190476190476
2014-04-01,2.1623809523809524
2014-05-01,2.1909523809523810
2014-06-01,2.2290476190476190
2014-07-01,2.2627272727272727
2014-08-01,2.1961904761904762
2014-09-01,2.0733333333333333
2014-10-01,1.9200000000000000
2014-11-01,1.8800000000000000
2014-12-01,1.6968181818181818
2015-01-01,1.6070000000000000
2015-02-01,1.7152631578947368
2015-03-01,1.7618181818181818
2015-04-01,1.8581818181818182
2015-05-01,1.8655000000000000
2015-06-01,1.8659090909090909
2015-07-01,1.8209090909090909
2015-08-01,1.6114285714285714
2015-09-01,1.5228571428571429
2015-10-01,1.4985714285714286
2015-11-01,1.5705263157894737
2015-12-01,1.5150000000000000
2016-01-01,1.4200000000000000
2016-02-01,1.3075000000000000
2016-03-01,1.5518181818181818
2016-04-01,1.6147619047619048
2016-05-01,1.5942857142857143
2016-06-01,1.4700000000000000
2016-07-01,1.4655000000000000
2016-08-01,1.4682608695652174
2016-09-01,1.5147619047619048
2016-10-01,1.6670000000000000
2016-11-01,1.8220000000000000
2016-12-01,1.9357142857142857
2017-01-01,2.0115000000000000
2017-02-01,2.0189473684210526
2017-03-01,1.9960869565217391
2017-04-01,1.9063157894736842
2017-05-01,1.8368181818181818
2017-06-01,1.7286363636363636
2017-07-01,1.7720000000000000
2017-08-01,1.7756521739130435
2017-09-01,1.8340000000000000
2017-10-01,1.8619047619047619
2017-11-01,1.8576190476190476
2017-12-01,1.8995000000000000
2018-01-01,2.0438095238095238
2018-02-01,2.1015789473684211
2018-03-01,2.0904761904761905
2018-04-01,2.1276190476190476
2018-05-01,2.1418181818181818
2018-06-01,2.1176190476190476
2018-07-01,2.1142857142857143
2018-08-01,2.0991304347826087
2018-09-01,2.1231578947368421
2018-10-01,2.1113636363636364
2018-11-01,2.0040000000000000
2018-12-01,1.8163157894736842
2019-01-01,1.7938095238095238
2019-02-01,1.8768421052631579
2019-03-01,1.9128571428571429
2019-04-01,1.9366666666666667
2019-05-01,1.8263636363636364
2019-06-01,1.7000000000000000
2019-07-01,1.7527272727272727
2019-08-01,1.5863636363636364
2019-09-01,1.5870000000000000
2019-10-01,1.5609090909090909
2019-11-01,1.6405263157894737
2019-12-01,1.7180952380952381
2020-01-01,1.7209523809523810
2020-02-01,1.6157894736842105
2020-03-01,0.98681818181818181818
2020-04-01,1.1033333333333333
2020-05-01,1.1155000000000000
2020-06-01,1.2731818181818182
2020-07-01,1.4563636363636364
2020-08-01,1.6614285714285714
2020-09-01,1.6561904761904762
2020-10-01,1.7038095238095238
2020-11-01,1.7121052631578947
2020-12-01,1.9159090909090909
2021-01-01,.
